,Sample ID,d15N,N%(N),umols N (N),d15N (C),d13C,N%,C%,C:N (mass),umols N,umols C,_merge
0,WS23-139-11MC-3 37.5-40cm,5.028679090559123,0.11749098157594684,3.0997995374673257,5.226818325782732,-24.12812115554234,0.11550869538725127,0.7236109412263928,6.264558168546833,1.3680483815565028,9.997399123871386,both
1,WS23-139-10MC-3 37.5-40cm,5.262846504332783,0.1122659318298848,2.7351699151673503,4.428560068581336,-26.059420366573093,0.10926129292336882,0.7739496689457269,7.0834752933826435,1.3055203736882184,10.787608208285985,both
2,WS23-139-10MC-3 45-47.5cm,4.576080331780628,0.11154512920987164,2.765698182272171,4.722623179865109,-25.922771165444875,0.10989663998063672,0.7411288465907242,6.743871757328593,1.2968744816558648,10.202400683334258,both
3,WS23-139-10MC-3 42.5-45cm,4.4174213717376505,0.11171246176101889,2.6220932138110955,4.883548109744468,-26.005845549845304,0.11052562712861852,0.7432326993763091,6.724528226484615,1.2660351635689293,9.931222614147382,both
4,WS23-139-11MC-3 5.0-7.5cm,5.172628758083373,0.12605961409888092,2.9557875254448525,,,,,,,,left_only
5,WS23-139-11MC-3 27.5-30cm,5.037556409767356,0.12184510810565709,3.205630863430703,4.919200929896277,-23.845576744900573,0.12267218863970912,0.7500681891058366,6.114411077386115,1.4479871402818485,10.32795807097687,both
6,WS23-139-10MC-3 17.5-20cm,5.637991306810787,0.10922031331653229,2.792563057324413,4.687693044662802,-25.83399655400997,0.11343688725629901,0.7419756430373543,6.540867446062201,1.4559758077393068,11.109247304827397,both
7,WS23-139-10MC-3 12.5-15cm,4.436010532029884,0.10962248616054754,2.6645071529087256,4.762805953367048,-25.884964311804026,0.11095740318588514,0.7294171891783637,6.573848776510955,1.280643261610109,9.820712696931011,both
8,WS23-139-10MC-3 32.5-35cm,4.537377554390248,0.11079651188587791,2.772048061829974,4.591330088289883,-25.93624664105603,0.11117175518089006,0.7690612630448077,6.917775668769922,1.3671507280596393,11.03260324812572,both
9,WS23-139-11MC-3 12.5-15cm,4.987720896857523,0.12857639629547926,3.3485845621935417,5.061986082779772,-23.23094051389244,0.13173057541524405,0.7904122600775365,6.00021868564668,1.6672709231000054,11.66993355178591,both
10,WS23-139-11MC-3 32.5-35cm,5.06383653310737,0.11692746874028451,2.947890880353739,5.06403744911582,-23.580470511022043,0.11552357902924439,0.6929460145207755,5.998308054023834,1.3094321448853683,9.162350300241396,both
11,WS23-139-11MC-3 15-17.5cm,5.065172047405871,0.12734419761223545,3.243323097216121,5.0913867370568795,-23.30362137810771,0.1302753736865812,0.7730246688862413,5.933774335170956,1.6335099854048338,11.307014453226147,both
12,WS23-139-10MC-3 7.5-10cm,4.585881315222689,0.10994102512311835,2.7290642617463865,4.6534001309552115,-25.878933685445467,0.11378456140317705,0.7522892048507406,6.611522649238206,1.5160716686032163,11.692741537842442,both
13,WS23-139-10MC-3 25-27.5cm,4.580629622109835,0.11016339499331514,2.674194789669989,4.619146853261387,-25.9636197718976,0.1145744141243415,0.7518149643994254,6.5618050080842725,1.3904312554904026,10.64309577412076,both
14,WS23-139-11MC-3 0-2.5cm,4.9200760642224415,0.12712069874008608,3.130653439421264,5.048075404748742,-23.195449749358133,0.13335005373955564,0.8229368824732001,6.171252724655575,1.5441384167143548,11.116157405797438,both
15,WS23-139-10MC-3 27.5-30cm,4.5444357986123824,0.10946579096695835,2.707735179129152,4.7354491852193545,-25.943172550414033,0.11155049074655161,0.7389558461758777,6.624406949986647,1.347921668699766,10.416139483689786,both
16,WS23-139-10MC-3 20-22.5cm,4.537288505176959,0.10884068768317137,2.7399730291918423,4.676833203735005,-25.878148312465107,0.1142689291073918,0.7407478333588587,6.482495628034563,1.4471617481459333,10.943454460687951,both
17,WS23-139-11MC-3 2.5-5.0cm,4.961786009063619,0.1262936257557412,3.324650400783363,,,,,,,,left_only
18,WS23-139-10MC-3 2.5-5cm,4.921907033525581,0.10950012061966,2.8095651933725323,,,,,,,,left_only
19,WS23-139-10MC-3 15-17.5cm,4.683037485363886,0.10620023790968182,2.654778538239027,4.457611765890925,-25.931806701971546,0.11105147632415972,0.7393402154497728,6.657635178947424,1.2966310133551784,10.070047663886248,both
20,WS23-139-11MC-3 25-27.5cm,4.979093739706227,0.11666582114476778,3.0714504975757424,4.996112135989191,-23.78619948535158,0.11991621829133782,0.7563841127365837,6.307604788694552,1.4544870074409018,10.702110930668415,both
21,WS23-139-10MC-3 40-42.5cm,4.691584334609921,0.10719075143368491,2.6389888639904777,4.887245999642975,-26.004115020440278,0.11130318416914346,0.7500848915913544,6.739114403514972,1.3418349611826077,10.548654303895068,both
22,WS23-139-11MC-3 5-7.5cm,4.728258429634409,0.10691928507601794,2.6574898964433236,5.020170758386918,-23.303284724418813,0.13412816227485228,0.8074717270924072,6.020150529146556,1.5276824307065082,10.728414945223598,both
23,WS23-139-11MC-3 20-22.5cm,5.024798863330791,0.11741295633789267,2.8448128500283842,5.161228864754935,-23.576581401608998,0.12101962577524399,0.7559255183746751,6.246305204897673,1.4387600905870548,10.483509936759857,both
24,WS23-139-11MC-3 17.5-20cm,4.942388301183032,0.11687733318927775,2.833169958915818,5.043402964917487,-23.45380364983689,0.1257982345923078,0.7368690913955246,5.857547157029675,1.6142759896506136,11.030335158292043,both
25,WS23-139-10MC-3 0-2.5cm,4.694396568173915,0.10732280581097915,2.7117968063587883,4.737774796036175,-25.525182602625204,0.12294609688811833,0.8004532163513212,6.51060291145101,1.523443427535856,11.57024798989087,both
26,WS23-139-10MC-3 35-37.5cm,4.739609842149241,0.10655170439250418,2.7492773462417084,4.815566638626049,-26.047546748951873,0.11224228278119684,0.7642545903986072,6.808972264832068,1.2750434906943238,10.127486932717597,both
27,WS23-139-01MC-3 10-12.5cm,4.384228997923311,0.03819193148635955,0.9648846644965713,4.454497224075844,-26.561461445113046,0.04199161659778723,0.2840126967845684,6.763557104861131,0.540675782874721,4.265865976100608,both
28,WS23-139-16MC-3 20-22.5cm,5.4376222439426805,0.10021819326113662,2.438428102702088,5.182121774442647,-23.55460550186458,0.1060785841317128,0.6485530876867652,6.113892761629315,1.3462364210291604,9.601393754430214,both
29,WS23-139-01MC-3 22.5-25cm,3.692561397531599,0.028563995575934472,0.7286775174046383,4.042400656025425,-25.74231413213949,0.026506613830150936,0.1525016331627168,5.753342699294474,0.3348422923383378,2.2472721929340236,both
30,WS23-139-11MC-3 22.5-25cm,5.061863541455244,0.11464456219939781,2.969056852448787,4.89039810972195,-23.767548675547946,0.12506272199138685,0.7689868174962456,6.148809215500735,1.6077835016323114,11.532241107347945,both
31,WS23-139-01MC-3 2.5-5cm,4.187538190296775,0.021596947762694087,0.5497278759210805,4.266638368224984,-26.83833638416243,0.02223736897467347,0.15321577872785216,6.8900137827614545,0.2636739281993402,2.119251054310641,both
32,WS23-139-01MC-3 12.5-15cm,4.463643192362506,0.02522694326824876,0.6578632207747811,3.666601820745522,-25.638805663393306,0.025420482141806085,0.12841466329968734,5.0516218608025065,0.32582126896531893,1.920018408719805,both
33,WS23-139-10MC-3 47.5-50cm,4.794781864501551,0.10223710998337118,2.579498475155035,4.641530994064707,-25.695353298501047,0.10566264742923272,0.7179085952399946,6.794346088297779,1.3380918563093838,10.605440713362185,both
34,WS23-139-11MC-3 10-12.5cm,5.158654923316878,0.1219375840947101,3.1118018873220348,5.194786169066397,-23.296273453189492,0.13324646614299854,0.7993397127326617,5.998956189013071,1.494814210113853,10.46063469193942,both
35,WS23-139-01MC-3 17.5-20cm,4.380321123696393,0.025577160229515578,0.6592188998769293,4.776811263891774,-25.650062156393194,0.02835477233696231,0.13573249869121903,4.786936642558854,0.33612852175037117,1.876973637188814,both
36,WS23-139-16MC-3 10-12.5cm,5.246156841749103,0.09980355527411851,2.5684633728824715,5.025043402499507,-23.55443192286934,0.10660919636440325,0.6565574983328712,6.158544672719205,1.2708638033418265,9.13003062419424,both
37,WS23-139-01MC-3 7.5-10cm,4.501486110955435,0.06510380593503583,1.6597055908463525,4.258744308793533,-26.798645741189738,0.06805397249278676,0.656446336694397,9.645966468217203,0.8885876651038888,9.998645159992176,both
38,WS23-139-16MC-3 22.5-25cm,5.452764796281211,0.10315454715147043,2.6084626280764756,5.025980931718238,-23.768799035598185,0.10815726419622863,0.6554849792704212,6.060480395299029,1.2853035628858034,9.086735570252493,both
39,WS23-139-01MC-3 25-27.5cm,4.007868802870943,0.035638038682713646,0.8808268133235727,3.923623425976877,-26.045297025131905,0.034282395509790294,0.17472442963488768,5.096622538672661,0.45413774323069106,2.7000089005777523,both
40,WS23-139-01MC-3 0-2.5cm,3.904633432765542,0.04421541264517335,1.1435096690739226,4.045729737572943,-27.285689669077207,0.04201309814073828,0.3980607189623103,9.474681386953659,0.513993220651145,5.680899852634472,both
41,WS23-139-11MC-3 35-37.5cm,5.137551546026304,0.11464678499718238,2.8916194108925315,5.024398822176549,-23.84243100328367,0.11604678347790136,0.7078273504602075,6.09949995378371,1.440520779060801,10.249646504457509,both
42,WS23-139-16MC-3 25-27.5cm,5.762966829729987,0.10467510214452819,2.6569992737071453,5.014970041675,-23.773629426527865,0.108529913375633,0.6584739560836672,6.067211661771278,1.3346622966086945,9.446168017789761,both
43,WS23-139-16MC-3 17.5-20cm,5.391345875236996,0.10198856882258785,2.625932658507059,5.141655637602075,-23.497899590096974,0.1064424595092815,0.6527468164958083,6.132391336174363,1.42751418395424,10.211873384795789,both
44,WS23-139-16MC-3 12.5-15cm,5.162808979493303,0.09991956377294477,2.4888601120517153,5.060597846272663,-23.53863359825019,0.10595842112345205,0.64945959485174,6.129381581621108,1.2528203040042707,8.9577836708735,both
45,WS23-139-01MC-3 5-7.5cm,3.6451636612649887,0.039636021329781175,0.9573471276077552,4.396438137389902,-27.71808401571053,0.036097325747456936,0.43164819077950695,11.957899424444667,0.43151892335361086,6.0193537878228005,both
46,WS23-139-01MC-3 27.5-30cm,3.67565912572228,0.02928010599877122,0.7558489033201713,4.335289447934951,-25.951611431157087,0.029901329071573456,0.1597028677040925,5.340995623365737,0.38050028171878053,2.3706767072677444,both
47,WS23-139-10MC-3 22.5-25cm,4.659029210126084,0.10593997987134691,2.7102789140248507,5.099045191489756,-25.901478112202202,0.11310818939893226,0.7465760852637888,6.600548459233284,1.5014082785524223,11.560429190383582,both
48,WS23-139-01MC-3 15-17.5cm,3.866817526498717,0.03210536226636303,0.8097609429294818,4.301995567178851,-25.470658677977514,0.03183606398688275,0.16183765064294167,5.0834691973738595,0.427412225217186,2.534558177304821,both
49,WS23-139-10MC-3 30-32.5cm,4.776000205921692,0.10770692469734544,2.657078323618596,4.677060911921184,-25.98893428361465,0.11238835686200835,0.7400907559730698,6.585119461100061,1.3910967140214754,10.686023146818489,both
50,WS23-139-16MC-3 15-17.5cm,5.396581489664448,0.09962771219000298,2.538977755911397,5.224218188380318,-23.583268890290597,0.10486574905446203,0.6605480792759603,6.2989878509608,1.309511976950616,9.622222020760137,both
51,WS23-139-11MC-3 30-32.5cm,4.94922522184884,0.11460014095016224,2.9348597124560105,4.976158828958797,-23.74280835379672,0.12304383934945637,0.7441779908964326,6.048071929736321,1.4501783549880256,10.23136301888584,both
52,WS23-139-01MC-3 20-22.5cm,4.621655459737567,0.02672677660655606,0.6832020346970681,3.8766083235141275,-25.116258683503794,0.02663279826383546,0.13333726537713425,5.00650604026811,0.30643876374948437,1.789672537784683,both
53,WS23-139-11MC-3 7.5-10cm,5.29570261575183,0.12111248121732703,3.102761724377089,4.6529666406430605,-23.25042952387976,0.13004661065183187,0.8029534743119957,6.1743514135997595,1.5966679156475092,11.500085521765728,both
54,WS23-139-05MC-3 50-52.5cm,3.7028178563792817,0.08446562156755015,2.6033618878717935,,,,,,,,left_only
55,WS23-139-09MC-3 1-2.5cm,5.027712559268378,0.11030355946604854,3.514676087169074,,,,,,,,left_only
56,WS23-139-18MC-3 0-2.5cm,4.519262952606937,0.10150702963375284,3.1251992978032086,5.012532281594355,-22.990005167549366,0.10833257035483554,0.6780869538996807,6.259308273390502,1.3380348304211807,9.76987231497092,both
57,WS23-139-09MC-3 5-7.5cm,5.027743847088218,0.10236521458284963,3.0909764723146833,,,,,,,,left_only
58,WS23-139-09MC-3 7.5-10cm,5.081351483395735,0.10220964286868255,3.1857162563502937,,,,,,,,left_only
59,WS23-139-18MC-3 20-22.5cm,5.273519812272728,0.09935833807584965,2.948907248773665,4.850925963290719,-23.04877588299995,0.10422903793550231,0.6730241036729742,6.457165076103324,1.3866702627265006,10.44504268806042,both
60,WS23-139-08MC-3 30-32.5cm,4.482218467624159,0.07509485122763924,2.268657800292528,,,,,,,,left_only
61,WS23-139-05MC-3 37.5-40cm,4.862019340902741,0.07368344540204681,2.2913921122600827,,,,,,,,left_only
62,WS23-139-05MC-3 42.5-45cm,4.4741112835620305,0.07024290474891527,2.161135022339218,,,,,,,,left_only
